SHOP_CODE,ITEM_CODE,ITEM_NAME,AUDIT_QTY,ERP_QTY,DEPT,PRICE,DIFF,"DIFF VALUE"
LCC,160868,"SERVING BOWL WLID MELAMINE 10 INCHES FEILU 79010",36,36,"HOUSEWARE & KITCHENWARE",26.9,0,0
LCC,168072,"FILLED CUSHION P VELVET 45X45CMGOLD DC250",12,12,"HOME DECOR & TEXTILES",79,0,0
LCC,176377,"VINETIS STEM F4 400ML FRC V7579",5,5,"HOUSEWARE & KITCHENWARE",249,0,0
LCC,187120,"MUG 350ML CERAMIC DESIGNER YWU",53,52,"HOUSEWARE & KITCHENWARE",14.9,1,14.9
LCC,184608,"SOUP BOWL 6 CERAMIC STKLT SK07 RJK",25,25,"HOUSEWARE & KITCHENWARE",9.9,0,0
LCC,183971,"AKAI FRIDGE DD 130L  RF135AC130L",3,3,"ELECTRICAL APPLIANCES",2799,0,0
LCC,192581,"CUP HOLDER SILVER SS HFXJ098",2,2,"HOUSEWARE & KITCHENWARE",19.9,0,0
LCC,192728,"CURTAIN SLT ASTD 10 COL 54X90 PL ST5",4,4,"HOME DECOR & TEXTILES",129,0,0
LCC,198902,"WATER BOTTLE METAL 550ML CN241014A2",26,26,"HOUSEWARE & KITCHENWARE",69,0,0
LCC,197397,"LG LED TV 50 SMART UHD 4K 50UA85006LA",1,1,"ELECTRONICS & TELECOM",11099,0,0
LCC,49143,"MONIN VANILLA SIROP 1L 6",6,6,SUPERMARKET,181.99,0,0
LCC,49251,"DEVA DISHWASHING LIQUID SOAP LEMON 25L  6",7,6,SUPERMARKET,73.99,1,73.99
LCC,64677,"SAMSUNG WASHING MACHINE TT 9KG WT90H3230",1,1,"ELECTRICAL APPLIANCES",5289,0,0
LCC,96221,"DANO MILK  UHT SKIMMED  03 FAT 1L 12",7,7,SUPERMARKET,31.99,0,0
LCC,119622,"CUSHION 45X45 LUXURY",3,4,"HOME DECOR & TEXTILES",169,-1,-169
LCC,128852,"BRUHM AC SPLIT 15HP R410 BAS12RCEW",2,2,"ELECTRICAL APPLIANCES",5499,0,0
LCC,134208,"CEBON SWEETENED CONDENSED FILLED MILK 1KG  24",24,24,SUPERMARKET,36.99,0,0
LCC,148886,"BACKPACK KID 6DESIGN MIX",1,1,LUGGAGE,199,0,0
LCC,154106,"AMBROSIA CHOCOLATE CUSTARD CAN 12 X 400G",1,0,SUPERMARKET,79.99,1,79.99
LCC,166369,"COLANDER WSIDE HANDLES 285CM SSTEEL XY2307",18,15,"HOUSEWARE & KITCHENWARE",39.9,3,119.7
LCC,167944,"CHRISTMAS ORNAMENT 20PCS 4CM",16,16,"HOME DECOR & TEXTILES",45.9,0,0
LCC,176305,"CRYSTAL LADY DIAMOND STEM F6 190ML FRC L9744",1,1,"HOUSEWARE & KITCHENWARE",349,0,0
LCC,176034,"BROOM WSTICK VENUS GBB18",35,34,"HOUSEWARE & KITCHENWARE",34.9,1,34.9
LCC,198804,"DINNER SPOON 6PCS SET DESIGNER SSTEEL  45G",44,44,"HOUSEWARE & KITCHENWARE",59,0,0
LCC,51959,"BIFOOD CHOCOLATE FLAKES 375G 20",27,27,SUPERMARKET,44.99,0,0
LCC,03324,"SENATOR THERMAL BOTTLE FLASK 10L SS FRC K3063414",1,1,"HOUSEWARE & KITCHENWARE",299,0,0
LCC,101422,"CHEF KNIFE 8INCHES WWOODEN HANDLE ER588B YWU",1,1,"HOUSEWARE & KITCHENWARE",39.9,0,0
LCC,101952,"CONTAINER SQUARE SET OF 7PCS PLASTIC 56587",27,27,"HOUSEWARE & KITCHENWARE",69,0,0
LCC,109569,"GIFT SET WPLATEBOWLSPOONFORKTRAY P510",6,7,"HOUSEWARE & KITCHENWARE",16.9,-1,-16.9
LCC,114485,"CASSEROLE 2800ML GLASS TEMPERED G27003",10,10,"HOUSEWARE & KITCHENWARE",119,0,0
LCC,126212,"AIRPRO  MINI CLIP AIRREFRSHENER CITRUS 25ML 6",7,7,SUPERMARKET,20.49,0,0
LCC,125165,"COOKWARE  DESSINI 10PCS SET 12",2,2,"HOUSEWARE & KITCHENWARE",899,0,0
LCC,123432,"BOX STACKING NOVALINE 260X160X140MM 03010103",7,7,"HOUSEWARE & KITCHENWARE",19.9,0,0
LCC,133960,"DALGETY STRONG CAMOMILE  LEMONGRASS 40G 36",15,16,SUPERMARKET,45.99,-1,-45.99
LCC,132475,"LAPTOP BAG BLACKGREY 156 CTD1061",6,6,LUGGAGE,199,0,0
LCC,145535,"SKEWER WWOODEN HANDLE SS 1956 B",54,54,"HOUSEWARE & KITCHENWARE",9.9,0,0
LCC,162277,"CANVAS H PAINTED COL ANIMALS 1 80X80X3 BD23C128BW",2,2,"HOME DECOR & TEXTILES",359,0,0
LCC,162714,"DINNER PLATE MELAMINE 9 INCHES FEILU 6029",29,31,"HOUSEWARE & KITCHENWARE",12.9,-2,-25.8
LCC,160830,"WINDOW SHADE BLACKOUT ROLLER 452120X180CM",2,2,"HOME DECOR & TEXTILES",279,0,0
LCC,180233,"DZIRE MINI WATER DISPENSER 13L 4W PWDAP222",5,5,"ELECTRICAL APPLIANCES",59,0,0
LCC,179255,"ENVELOPE DL GIFTING 4PCS ENVELOPE 22X11CM ASST COL",37,37,STATIONERY,10.99,0,0
LCC,95313,"3PCS COMFORTER SET 230X230CM WHITE",1,1,"HOME DECOR & TEXTILES",379,0,0
LCC,95663,"ODEX BLEACH  YELLOW LEMON 2L  6",6,6,SUPERMARKET,50.99,0,0
LCC,93795,"RUBBER DUMBBELL SINGLE HEX 20KG LKDB11120KG",2,2,"SPORTS & FITNESS",899,0,0
LCC,108468,"FIZZY COLA DRINK 350ML 20",63,63,SUPERMARKET,3.19,0,0
LCC,123434,"BOX STACKING NOVALINE 410X255X200MM 03010303",2,2,"HOUSEWARE & KITCHENWARE",59,0,0
LCC,137096,"BF BRIGHTENING VITC DAILY FACIAL WASH 150ML 12",8,8,SUPERMARKET,31.99,0,0
LCC,138575,"DOVE BAR SOAP SHEA BUTTER 90G  48",28,27,SUPERMARKET,16.99,1,16.99
LCC,147092,"DOVE BATH GEL  SHEABUTTER 750ML  16",24,25,SUPERMARKET,92.99,-1,-92.99
LCC,140569,"MEANNAN PLANTAIN CHIPS  PEANUTS 100G  12",18,19,SUPERMARKET,12.49,-1,-12.49
LCC,14503,"FLORA WRAPPED TROLL 2PLY 1 X 10 X 7",15,8,SUPERMARKET,40.99,7,286.93
LCC,150404,"CURTAIN W8 GROMENT GOLD 54X90 JQ032",12,12,"HOME DECOR & TEXTILES",119,0,0
LCC,160121,"DALGETY SORREL HIBISCUS GINGER HERB TEA 45G  36",37,37,SUPERMARKET,45.99,0,0
LCC,167658,"MUG 350 ML CERAMIC DESINGER YWU",5,5,"HOUSEWARE & KITCHENWARE",9.9,0,0
LCC,178177,"KNIFE SET 2PCS YWU",100,100,"HOUSEWARE & KITCHENWARE",36.9,0,0
LCC,185445,"CURTAIN BKT GROM BROWN 54X90 02PA7261C",5,5,"HOME DECOR & TEXTILES",109,0,0
LCC,185377,"4PCS BEDSHEET SET Q 230X250CM PRINT ASS 03BT1032",16,16,"HOME DECOR & TEXTILES",139,0,0
LCC,192671,"GIFT BAG SMALL 210G 18X23X10 KRJ1430S13",7,8,"TOYS AND ENTERTAINMENT",6.99,-1,-6.99
LCC,189099,"XMAS HAT REDGREEN SQUARES DESIGN",24,24,"HOME DECOR & TEXTILES",49.9,0,0
LCC,189621,"TOREN MRBITE GROAN MILKY CREAM COAT W CHO 35G 144",61,61,SUPERMARKET,8.49,0,0
LCC,200445,"FRYING PAN WLID 22CM FALU ZHNBLY 1187G22",10,10,"HOUSEWARE & KITCHENWARE",149,0,0
LCC,198719,"SOAP DISPENSER 300ML SQ PLASTIC MARBLE FINISH YWU",26,24,"HOUSEWARE & KITCHENWARE",49.9,2,99.8
LCC,38165,"HARPIC ACTIVE  FRESH LAVENDER 450ML 12",2,1,SUPERMARKET,29.99,1,29.99
LCC,55120,"MV  NECKLACE W EARRINGS  LAYED LOCAL BEADCRYSTAL",2,3,"GARMENTS AND FOOTWEAR",14.5,-1,-14.5
LCC,N262,"BADIA WHITE PEPPER 567G  8",7,7,SUPERMARKET,59.99,0,0
LCC,91534,"DETTOL SOAP SKINCARE  160G   48",15,16,SUPERMARKET,21.99,-1,-21.99
LCC,95372,"WALL LIGHT BD6005",18,18,"HOME DECOR & TEXTILES",79,0,0
LCC,100986,"CURTAIN POLYESTER 52X84 WHANGER DRTH159",13,13,"HOME DECOR & TEXTILES",159,0,0
LCC,111869,"PICCADILLY COREEN BISCUIT BOX 600G  4",14,14,SUPERMARKET,30.99,0,0
LCC,114720,"RACKET SET W2 BALL TY 175",26,26,"TOYS AND ENTERTAINMENT",27.99,0,0
LCC,128146,"AKAI MICROWAVE OVEN 30L GRILL MW074A030MS",1,1,"ELECTRICAL APPLIANCES",1999,0,0
LCC,123839,"BLANKET JAQUARD VELVET 150X200CM ASTD",14,14,"HOME DECOR & TEXTILES",199,0,0
LCC,120410,"BIC TIPP EX  CORRECTION TAPE MINI GFVBICST129",10,10,STATIONERY,22.99,0,0
LCC,134091,"SANITA EASY LOCK  STORAGE BAG LARGE 20X25",31,31,SUPERMARKET,22.99,0,0
LCC,130530,"VACUUM FLASK 3200ML PLASTIC 8876",1,1,"HOUSEWARE & KITCHENWARE",89,0,0
LCC,132027,"DINNER SPOON 6PCS 21CM 45G DYC1 YWU",13,13,"HOUSEWARE & KITCHENWARE",34.9,0,0
LCC,148533,"ARTIFICIAL PLANT 115CM",2,2,"HOME DECOR & TEXTILES",469,0,0
LCC,149368,"NASCO FRIDGE DD COMBI 158L NASD220FL",1,1,"ELECTRICAL APPLIANCES",4599,0,0
LCC,162706,"DINNER PLATE MELAMINE 12 INCHES FEILU 391212",61,61,"HOUSEWARE & KITCHENWARE",18.9,0,0
LCC,158432,"DZIRE INDUSTRIAL WALL FAN 26 IFW26DCFW65",1,1,"ELECTRICAL APPLIANCES",1689,0,0
LCC,167240,"AKAI BLENDER WMILL 15L 350W BD072AM374",2,2,"ELECTRICAL APPLIANCES",329,0,0
LCC,170275,"KIDS WATER GUN TOY 30CM",36,36,"TOYS AND ENTERTAINMENT",36.99,0,0
LCC,192801,"CURTAIN JQ LT GREY 54X90 PL JGM3",4,4,"HOME DECOR & TEXTILES",129,0,0
LCC,192258,"PENDANT LIGHT NET DESIGN 3BULBS S24953",1,1,"HOME DECOR & TEXTILES",429,0,0
LCC,88560,"EVP PARTY TIME PLASTIC ROUND BOWL   8X 20  40",17,19,SUPERMARKET,18.99,-2,-37.98
LCC,81329,"TASTY TOM TOMATO MIX SACHET 105KG  12",17,18,SUPERMARKET,39.49,-1,-39.49
LCC,73043,"SIMMER RING 21CM",3,2,"HOUSEWARE & KITCHENWARE",9.9,1,9.9
LCC,57878,"CUSSONS MORNING FRESH DWASH ZESTY LEMON 450ML  18",29,29,SUPERMARKET,26.99,0,0
LCC,X469,"ANNAPURNA SALT 450G 5013620002",89,141,SUPERMARKET,6.49,-52,-337.48
LCC,100798,"ZOMBA RED COCKTAIL 0 ALC 750ML 6",6,7,SUPERMARKET,42.49,-1,-42.49
LCC,119478,"WESTINGHOUSE DISH RACK WCKM0086",6,6,"HOUSEWARE & KITCHENWARE",129,0,0
LCC,113270,"PRAN ALLTIME POTATO SPICY BISCUITS 100G  48",33,33,SUPERMARKET,9.99,0,0
LCC,125275,"AIRPRO MINI CLIP AREFRSHNER BLOSSOM 25ML 6",6,8,SUPERMARKET,20.49,-2,-40.98
LCC,13746,"FOOTDISC PYRAMID  P064",99,98,"SPORTS & FITNESS",49,1,49
LCC,149223,"SOLID MICROPEACH 4PC KING BEDSHEET 03BT07974K",1,1,"HOME DECOR & TEXTILES",229,0,0
LCC,170080,"CONTAINER CLICK AND LOCK 550ML 304 17341",23,23,"HOUSEWARE & KITCHENWARE",26.9,0,0
LCC,168756,"CURTAIN P VELVET EMBOSSED 54X84 GREEN 25YB9",9,9,"HOME DECOR & TEXTILES",159,0,0
LCC,180688,"DZIRE LIGHT RECHARGEABLE  RL30823A",18,18,"ELECTRICAL APPLIANCES",119,0,0
LCC,193497,"GLASS STORAGE CONTAINER 2PCS SET 1040ML DELICIOUS",1,1,"HOUSEWARE & KITCHENWARE",75,0,0
LCC,192768,"CURTAIN PR GREEN 54X90 PL 2510Y",12,12,"HOME DECOR & TEXTILES",109,0,0
LCC,200277,"CLOTHES HANGER 6PCS SET ASSTD 6036000075865",7,7,"HOUSEWARE & KITCHENWARE",16.9,0,0
LCC,197912,"VIP TROLLEYCASE WWHEEL 8W TOURAGE LG TOURTW8LYL",2,2,LUGGAGE,699,0,0
LCC,206527,"PASTRY SET EVA DELICIOUS BB7705",1,1,"HOUSEWARE & KITCHENWARE",14.9,0,0
LCC,64548,"DOLAIT VANILLA DRINKING YOGHURT 200ML  10",14,14,SUPERMARKET,9.99,0,0
LCC,64806,"GOMETS  FRUIT WORMS  100G   30",34,34,SUPERMARKET,13.99,0,0
LCC,99593,"OPTIMA CABLE CLIPS MAGNETIC  HT36",12,12,"ELECTRONICS & TELECOM",34,0,0
LCC,90603,"CURTAIN ROD SINGLE 120 TO 210 11032210AB",2,2,"HOME DECOR & TEXTILES",119,0,0
LCC,02247,"SAIRO ARGAN HAND WASH 500ML 12",7,7,SUPERMARKET,29.99,0,0
LCC,100621,"TABLE LAMP 8W 500LM 3000K BLACK ZIG D067T1A",1,1,"HOME DECOR & TEXTILES",249,0,0
LCC,101459,"MEN SUMMER SHORTS HMD",22,23,"GARMENTS AND FOOTWEAR",99,-1,-99
LCC,138925,"GEISHA LEMON  HONEY V1 180G  36",15,41,SUPERMARKET,15.49,-26,-402.74
