ITEM_CODE,ITEM_NAME,DEPT,VALUE
62903,"COSMETIC ORGANIZER",SUPERMARKET,506
70568,"CELLO FRIDGE BOTTLE MAXIS  1L","HOUSEWARE & KITCHENWARE",9.9
58797,"BIC PEN STIC ROUND MEDIUM RED 12PC GFVBICST027",STATIONERY,31.9
N349,"HEINZ CORNED BEEF 340G  24",SUPERMARKET,1583.76
T0001,TEST,MISCELLANEOUS,9.77
X776,"BADIA GARLIC POWDR 105 OZ   12",SUPERMARKET,1707.86
96770,"KIS MINT APPLE PEACH CANDY 125G   24",SUPERMARKET,14.99
93627,"VAETTEL NATURAL MINERAL WATER 50CL  16",SUPERMARKET,8.45
93633,"FIESTA RED GRAPE  NON ALCOHOLIC WINE  750ML  6",SUPERMARKET,41.99
96194,"DANO MILK  UHT FULL CREAM 35  FAT 1L 12",SUPERMARKET,127.96
07960,"MEANNAN PEANUT PASTE  350ML  12",SUPERMARKET,461.86
102257,"BODYCOLOGY MIST CUCUMBER MELON 236ML 12",SUPERMARKET,935.88
103811,"TWINKLE BABY WIPES ALOEVERA 100SHEETS  12",SUPERMARKET,705.33
106789,"KELLOGGS CORNFLAKES 450G  10 NGR",SUPERMARKET,1151.84
119666,"KELLOGGS CORNFLAKES 45G  100",SUPERMARKET,12.98
119322,"PANTENE CONDITIONER REPAIRS  PROTECT 400ML  6",SUPERMARKET,629.94
111181,"WALL CLOCK SET 3PCS PAINTING DESIGN MIXED","HOME DECOR & TEXTILES",1436
113214,"OUTDOOR BROOM WHANDLE BLUE PLASTIC BT1642151642E","HOUSEWARE & KITCHENWARE",39.9
124048,"KICK SCOOTER KIDS WFLASH LIGHTPVC WHEEL FCJJY","TOYS AND ENTERTAINMENT",189
135326,"MADAR ZONE BLEACH 250ML 15",SUPERMARKET,7.99
134396,"PLEDGE WOOD POLISH SPRAY  CLASSIC 250ML 6",SUPERMARKET,99.98
135637,"FABER CASTELL WRITING AND MARKING KIT SET",STATIONERY,530.1
135861,"FABER CASTELL STRETCHED CANVAS 3X3 890303",STATIONERY,169
137579,"PRINGLES TEXAS BBQ SAUCE CHIPS 165G X 19",SUPERMARKET,1349.73
