SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,ERP_QTY,DEPT
SPN,07020,"YAZZ SANITARY PAD HEAVY FLOW PINK 24",17.99,66,SUPERMARKET
M04,07023,"YAZZ SANITARY PAD  EXTRA LONG MINTY 24",17.99,10,SUPERMARKET
KCS,07025,"POWER HORSE ENERGY DRINK 250ML 24",20.99,13,SUPERMARKET
LFS,07029,"CORONA EXTRA BEER 355ML 24",28.99,546,SUPERMARKET
KCS,07029,"CORONA EXTRA BEER 355ML 24",28.99,78,SUPERMARKET
GBA,07029,"CORONA EXTRA BEER 355ML 24",28.99,35,SUPERMARKET
SPN,07044,"DIMES FRUITMIX NECTAR CAN 330ML 12",19.99,18,SUPERMARKET
SPN,07140,"TANGO APPLE SUGAR FREE DRINK  330ML 24",13.99,248,SUPERMARKET
GBA,07206,"PRIMA ANTISEPTIC 45L  6",92.99,5,SUPERMARKET
MDN,07208,"PRIMA LIQUID WASHING DETERGENT 45L 6",99.99,4,SUPERMARKET
SPN,07287,"BACARDI RHUM GOLD 1L 12",320.99,68,SUPERMARKET
KCS,07406,"NESCAFE GOLD BLEND DECAF COFFEE 95G  6",114.99,5,SUPERMARKET
KAS,07663,"GRANORO ELICOIDALI NO 23  1023 500GMS 24",21.99,25,SUPERMARKET
KS7,07673,"GRANORO DITALINI RIGATI NO 1060 500 24",21.99,-1,SUPERMARKET
M03,07673,"GRANORO DITALINI RIGATI NO 1060 500 24",21.99,9,SUPERMARKET
ADB,07715,"FANICE CUP VANILLA 140ML 12",7.49,-1,SUPERMARKET
TMP,07715,"FANICE CUP VANILLA 140ML 12",7.49,61,SUPERMARKET
LFS,07716,"FANICE VANILLA 2L X 1",75.99,9,SUPERMARKET
MDN,07716,"FANICE VANILLA 2L X 1",75.99,2,SUPERMARKET
HAA,07781,"MYDIBEL STRAIGHT CUT GRADE A 99 25KG 4",149.99,10,SUPERMARKET
TMP,07781,"MYDIBEL STRAIGHT CUT GRADE A 99 25KG 4",149.99,12,SUPERMARKET
MSS,07952,"MEANNAN CORN GRITS AKWEGBEMI 750G   12",22.99,11,SUPERMARKET
FAR,07953,"MEANNAN CORN GRITS AKWEGBEMI  500G  24",17.49,30,SUPERMARKET
