"ITEM CODE","ITEM NAME",PRICE,RACK,USER,QTY,DATE/TIME,DEPT,GROUP,SUB-GROUP
X435,"NAN 1 OPTIPRO 400G 12",139.99,6,AKORFA,9,"16-JUN-26 04.55.27.580000 PM",SUPERMARKET,"FOOD CUPBOARD","BABY FOOD"
X443,"NESTLE CERELAC RICE TIN 400G 12",50.99,25,DEEPAK,56,"16-JUN-26 04.59.45.639000 PM",SUPERMARKET,"FOOD CUPBOARD","BABY FOOD"
X452,"MILO ACTIGEN TIN 400G 12",57.99,12,COLLINS,10,"16-JUN-26 04.46.42.334000 PM",SUPERMARKET,BEVERAGES,"DRINKING POWDERS"
X582,"PEAK FULL CREAM EVAPORATED MILK 160G  48",15.99,6,AKORFA,5,"16-JUN-26 04.58.19.414000 PM",SUPERMARKET,"FOOD CUPBOARD","MILK AND CREAMERS"
D635,"BINE DISINFECTANT 0.5L  25",15.99,GH,FH,15,"16-JUN-26 04.53.33.817000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HOUSEHOLD CLEANERS"
H801,"BANQUET CHAIR CY02/SF1013-1 MAR",579,GH,FH,2,"16-JUN-26 05.05.23.096000 PM",FURNITURE,"BAR AND HOTEL","Banquet Chairs"
H801,"BANQUET CHAIR CY02/SF1013-1 MAR",579,GH,FH,4,"16-JUN-26 05.03.50.352000 PM",FURNITURE,"BAR AND HOTEL","Banquet Chairs"
K402,"SS KNIFE DESERT4P1761261 48A",9.9,T,MANOJ,5,"16-JUN-26 05.12.06.892000 PM","HOUSEWARE & KITCHENWARE","CUTLERY ITEMS","SPOONS FORKS KNIFE AND CUTLERY SET"
X890,"DETTOL ANTISEPTIC LIQUID 500ML   24",65.99,1,KYEI,50,"16-JUN-26 04.46.22.267000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HEALTH AND WELLNESS"
D636,"HEINZ SALAD CREAM 285G 12",44.99,25,DEEPAK,32,"16-JUN-26 04.57.46.840000 PM",SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
D997,"MALTA GUINNESS CAN 330ML 24",12.99,12,COLLINS,3,"16-JUN-26 05.00.03.981000 PM",SUPERMARKET,BEVERAGES,DRINKS
D997,"MALTA GUINNESS CAN 330ML 24",12.99,6,AKORFA,39,"16-JUN-26 04.56.40.241000 PM",SUPERMARKET,BEVERAGES,DRINKS
N479,"NUTELLA CHOCOLATE SPREAD 350G 15",104.99,25,DEEPAK,25,"16-JUN-26 04.58.55.053000 PM",SUPERMARKET,"FOOD CUPBOARD","SPREADS AND TOPPING"
N636,"PAPER NAPKIN / KITCHEN TOWEL EVERPACK M/S  6",21.99,T,MANOJ,20,"16-JUN-26 05.08.45.440000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
N636,"PAPER NAPKIN / KITCHEN TOWEL EVERPACK M/S  6",21.99,T,MANOJ,1,"16-JUN-26 05.08.31.922000 PM",SUPERMARKET,"HOME AND PERSONAL CARE",DISPOSABLE
N857,"CUSSONS BABY SOAP MILD &GENTLE 70G 96",5.99,T,MANOJ,100,"16-JUN-26 04.57.56.795000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","INFANT AND BABY CARE"
98539,"GETTOL ANTISEPTIC LEMON 250ML  24",18.99,1,KYEI,23,"16-JUN-26 04.46.38.506000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HEALTH AND WELLNESS"
CL542,"BOWL ETO 3000ML 28CMX9CM",7.9,6,AKORFA,5,"16-JUN-26 04.47.44.838000 PM","HOUSEWARE & KITCHENWARE",SERVEWARE,"SERVING BOWL"
98541,"GETTOL ANTISEPTIC LEMON 500ML  24",33.99,5,DAVID,-300,"16-JUN-26 05.08.06.975000 PM",SUPERMARKET,"HOME AND PERSONAL CARE","HEALTH AND WELLNESS"
CL606,"MIXING BOWL LARGE 30CMX27CMX14CM",19.9,6,AKORFA,3,"16-JUN-26 04.46.40.969000 PM","HOUSEWARE & KITCHENWARE",SERVEWARE,"SERVING BOWL"
